INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
BENSON'S NYC,50033791,181 ESSEX ST,"NEW YORK, NY 10002-1507",MANHATTAN,987999,202287,50033791,American
BENVENUTI,50064183,235 S END AVE,"NEW YORK, NY 10280-1068",MANHATTAN,979641,197814,50064183,Pizza/Italian
BERLIN CURRYWURST,50044852,75 9TH AVE,"NEW YORK, NY 10011-7006",MANHATTAN,982944,209562,50044852,German
BERONBERON,50011221,164 1ST AVE,"NEW YORK, NY 10009-4508",MANHATTAN,988586,204818,50011221,Japanese
BEST WESTERN PREMIER HERALD SQUARE,50033430,48 W 36TH ST,"NEW YORK, NY 10018-8029",MANHATTAN,988223,212730,50033430,American
BETTER GOURMET HEALTH KITCHEN,50054311,1135C MORRIS PARK AVE,"BRONX, NY 10461-1415",BRONX,1025294,249059,50054311,American
BETWEEN THE BREAD,50043150,609 W 27TH ST,"NEW YORK, NY 10001-1105",MANHATTAN,982681,213110,50043150,Sandwiches
BHATTI INDIAN GRILL,50007475,100 LEXINGTON AVE FRNT,"NEW YORK, NY 10016-8975",MANHATTAN,988936,209685,50007475,Indian
BIARRITZ BAKERY,50054374,1015 E 167TH ST FRNT,"BRONX, NY 10459-2051",BRONX,1014902,240519,50054374,Bakery
BIN 5,50039305,1233 BAY ST,"STATEN ISLAND, NY 10305-3111",STATEN ISLAND,966075,162687,50039305,Italian
BIRCH COFFEE,50005457,62 MADISON AVE FL,"NEW YORK, NY 10016-8704",MANHATTAN,988105,210149,50005457,Caf&eacute;/Coffee/Tea
BIRCH COFFEE,50012309,134 1/2 E 62ND ST,"NEW YORK, NY 10065-8142",MANHATTAN,993233,217776,50012309,Caf&eacute;/Coffee/Tea
BIRCH COFFEE,50045966,8 SPRUCE ST,"NEW YORK, NY 10038-1556",MANHATTAN,982705,198461,50045966,Caf&eacute;/Coffee/Tea
BIRCH COFFEE,50059740,71 W HOUSTON ST,"NEW YORK, NY 10012-1543",MANHATTAN,984403,204031,50059740,Caf&eacute;/Coffee/Tea
BKW BY BROOKLYN WINERY,50051287,747 FRANKLIN AVE,"BROOKLYN, NY 11238-4868",BROOKLYN,996157,184513,50051287,American
BLACK BARN,50034379,19 E 26TH ST FRNT 1,"NEW YORK, NY 10010-1441",MANHATTAN,987789,209990,50034379,American
